72795 73013 95326 190873 208670 
pay 36 17 25 97 516 
stake 8 0 0 631 52 
secur 34 4 111 410 129 
three 69 69 77 145 324 
analyst 100 57 95 257 168 
six 32 24 114 93 412 
tax 127 18 54 24 449 
avg 0 4 0 0 664 
no 112 100 118 237 94 
five 61 54 80 143 322 
today 127 52 230 172 74 
hold 36 12 74 428 102 
week 137 175 150 131 56 
cash 24 54 22 366 179 
busi 14 22 44 329 231 
prior 4 8 1 29 589 
currenc 4 19 561 6 37 
purchas 27 80 70 398 50 
under 64 151 49 276 82 
could 92 115 143 197 74 
their 84 89 186 205 53 
some 102 109 167 149 86 
told 96 75 136 186 117 
foreign 112 31 298 92 76 
all 70 70 54 312 103 
against 56 73 225 82 170 
we 118 108 132 137 108 
merger 3 2 0 569 29 
govern 125 125 177 136 37 
div 0 0 0 0 596 
approv 17 48 14 382 134 
meet 103 62 144 175 110 
over 87 102 96 180 127 
nation 77 56 224 148 84 
system 23 32 170 225 139 
make 44 76 67 263 137 
financi 18 13 81 266 208 
20 46 54 23 154 299 
american 35 18 25 334 163 
15 24 37 45 79 384 
agre 48 24 109 352 28 
grain 0 554 0 4 2 
manag 21 20 54 345 109 
nine 8 19 16 59 447 
30 33 47 34 134 300 
state 128 136 86 128 70 
complet 27 15 9 433 60 
major 42 83 172 145 99 
tender 2 89 47 390 7 
ad 104 64 99 132 129 
reserv 156 33 220 43 75 
firm 47 11 54 353 61 
own 29 9 28 368 86 
yen 7 1 437 13 61 
continu 69 50 81 148 167 
mark 1 8 197 65 242 
gener 47 45 34 223 164 
japan 18 41 357 71 21 
credit 23 65 69 88 259 
estim 79 153 84 57 129 
bid 21 54 32 377 17 
level 92 78 201 24 105 
rais 120 25 42 149 157 
barrel 468 0 3 10 11 
made 43 73 60 211 105 
there 87 96 147 107 55 
loan 43 56 33 139 217 
rise 96 45 176 18 152 
take 45 45 120 198 79 
earlier 54 53 71 125 184 
announc 38 42 43 260 102 
asset 6 0 21 300 158 
issu 35 45 83 189 132 
corn 3 458 0 22 0 
four 44 42 42 106 248 
term 26 24 64 293 73 
becaus 89 86 95 107 102 
period 27 63 51 52 285 
chang 64 72 137 69 136 
close 65 24 95 209 84 
import 147 192 85 22 24 
cost 58 76 21 50 264 
money 4 4 433 18 9 
into 57 53 77 205 76 
time 59 66 106 150 86 
capit 19 6 67 188 184 
between 52 127 105 122 56 
crude 429 2 0 4 23 
subsidiari 24 2 2 310 117 
qtli 0 0 0 0 447 
ga 210 0 1 115 120 
ani 59 74 73 176 59 
cut 70 61 172 45 93 
around 57 49 233 48 53 
feder 29 24 123 180 84 
split 1 4 1 11 421 
dealer 3 20 361 46 8 
franc 8 26 138 59 207 
statement 64 22 50 192 109 
servic 25 20 22 224 144 
central 13 13 348 35 26 
februari 115 55 109 52 100 
see 44 32 60 43 252 
declin 74 34 107 94 120 
further 29 39 202 90 63 
control 12 17 46 309 38 
lower 52 69 68 32 198 
now 63 57 106 128 63 
world 84 84 63 109 77 
spokesman 70 42 49 206 50 
company' 17 1 0 181 212 
valu 26 33 55 208 87 
33 97 101 33 143 
chairman 19 19 33 210 120 
depart 44 205 18 100 34 
countri 109 102 141 24 24 
futur 66 91 89 74 78 
note 21 27 85 110 155 
compar 39 53 71 29 205 
while 75 61 90 79 91 
incom 9 21 11 29 326 
produc 142 129 15 70 39 
exclud 7 7 4 15 360 
when 77 46 118 95 56 
rose 69 27 58 38 199 
financ 20 9 124 173 65 
mth 0 0 0 0 391 
sourc 69 119 107 85 10 
januari 68 45 87 42 146 
outstand 2 2 9 289 84 
day 167 31 79 86 23 
revenu 63 7 1 94 219 
12 17 18 12 51 285 
develop 86 27 54 100 115 
presid 91 25 45 137 84 
due 47 46 56 72 156 
befor 51 22 86 91 126 
28 6 8 12 39 307 
receiv 15 56 13 216 71 
sinc 51 63 105 87 64 
payment 24 112 44 77 112 
down 81 67 103 30 87 
commiss 12 69 8 225 54 
fall 55 63 148 8 93 
growth 23 16 130 28 170 
fund 9 8 146 108 94 
recent 49 59 97 96 63 
through 50 68 50 126 70 
should 58 60 77 67 100 
25 31 31 24 74 200 
debt 32 2 81 99 145 
reduc 37 73 63 61 121 
50 70 26 18 113 127 
japanes 25 19 174 115 20 
polici 42 53 208 30 19 
higher 62 48 36 38 168 
use 55 77 54 110 55 
accord 62 57 149 61 21 
agricultur 7 329 1 6 6 
annual 39 34 19 90 163 
remain 46 35 80 105 79 
both 43 24 37 110 131 
did 65 35 81 106 56 
energi 215 2 1 58 66 
bill 9 103 208 18 4 
bpd 338 0 0 1 1 
addit 30 48 25 129 108 
econom 50 37 199 32 20 
jan 3 1 1 20 312 
program 27 220 11 41 38 
onli 59 72 77 81 47 
investor 13 2 44 244 31 
fiscal 17 20 37 23 236 
eight 20 19 33 52 206 
part 32 44 30 169 54 
west 49 24 145 68 41 
talk 25 44 60 178 19 
canadian 51 61 27 116 71 
sold 13 46 29 187 51 
transact 8 7 48 245 17 
associ 25 62 21 137 80 
opec 324 0 1 0 0 
well 112 20 39 68 85 
provid 23 39 72 148 41 
minist 139 32 121 26 1 
account 18 16 76 35 173 
base 36 32 61 123 66 
canada 51 41 62 87 77 
charg 11 3 2 37 265 
figur 41 81 43 9 141 
effect 61 30 62 47 115 
each 17 19 18 201 58 
hi 43 30 59 149 30 
out 61 51 88 76 33 
comment 12 34 90 143 28 
help 73 34 133 28 39 
amount 23 41 64 94 84 
such 53 37 98 76 40 
u.k. 15 35 169 46 31 
seven 12 35 18 40 191 
improv 28 32 34 33 169 
need 65 59 95 52 25 
right 26 6 13 191 58 
seek 12 16 17 219 29 
takeov 4 0 0 266 23 
next 46 62 72 52 60 
possibl 32 40 39 134 46 
bought 7 33 78 156 17 
like 43 55 87 58 48 
forecast 29 55 109 8 90 
decemb 60 27 24 56 122 
plc 7 0 0 173 108 
union 29 119 23 90 26 
area 54 142 4 41 45 
yesterday 46 32 83 100 24 
ask 48 49 78 78 32 
plant 24 141 0 67 52 
dure 47 66 47 39 84 
petroleum 176 0 1 49 56 
quarterli 0 1 3 3 275 
soviet 18 257 2 5 0 
deal 21 15 22 204 19 
1st 0 0 0 7 273 
previous 13 13 7 145 100 
crop 0 277 0 0 0 
howev 30 61 47 69 70 
earli 43 37 96 37 62 
director 12 19 18 174 49 
suppli 93 65 65 35 14 
fell 72 26 62 14 97 
domest 79 32 86 15 58 
payabl 0 0 1 17 252 
file 1 7 0 219 42 
hous 46 62 94 42 24 
call 49 30 84 85 20 
move 42 29 84 80 32 
requir 16 38 55 98 60 
i 40 35 75 89 28 
who 29 52 44 117 25 
extraordinari 2 0 0 10 252 
still 35 50 72 68 39 
18 80 9 13 31 131 
condit 23 25 34 154 27 
half 31 19 30 28 155 
13 16 22 6 46 172 
off 90 19 28 74 50 
pari 2 10 237 10 2 
prefer 4 6 8 129 112 
full 5 11 22 33 187 
show 38 48 70 18 84 
public 13 17 29 98 99 
1 26 74 18 29 109 
consid 21 38 44 134 19 
june 24 39 30 34 129 
can 38 39 67 73 39 
save 7 33 4 141 69 
17 19 13 13 46 163 
averag 72 48 62 31 40 
gulf 115 62 26 13 36 
high 38 45 73 54 41 
subject 4 7 11 186 43 
offic 9 32 9 133 67 
usair 0 0 0 248 1 
11 9 13 15 41 171 
feb 7 12 0 32 197 
contract 72 60 53 32 31 
same 24 46 37 37 101 
name 13 3 5 99 125 
resourc 37 4 3 113 88 
second 39 11 18 45 131 
saudi 177 9 37 0 21 
reflect 19 16 39 17 153 
anoth 11 35 48 110 38 
16 13 14 17 36 162 
sever 43 36 37 86 39 
reuter 46 51 27 82 34 
distribut 6 8 1 61 164 
support 42 60 76 47 14 
usda 1 238 0 0 0 
discontinu 1 0 0 9 229 
allow 58 36 35 66 43 
drop 66 32 68 19 53 
held 15 13 30 140 39 
demand 97 36 66 9 29 
provis 3 32 7 30 164 
open 29 25 79 62 41 
payout 1 0 0 0 234 
action 21 32 62 86 34 
follow 40 46 33 77 37 
most 39 61 56 38 39 
pacif 32 11 0 127 63 
european 15 58 89 58 13 
store 0 17 0 90 126 
previou 36 57 35 21 84 
member 80 43 31 69 9 
give 15 21 38 112 46 
alreadi 29 30 31 119 23 
14 7 16 10 37 161 
declar 8 0 4 11 208 
execut 13 11 13 130 63 
22 13 10 39 23 144 
target 21 41 111 27 29 
trust 6 0 33 78 111 
intervent 2 49 176 1 0 
vote 3 13 3 142 67 
might 23 34 45 102 22 
believ 34 16 49 92 35 
insur 5 3 10 105 103 
sign 32 17 31 134 11 
do 45 41 57 58 24 
privat 25 45 34 88 30 
fourth 17 9 4 17 175 
line 30 16 25 86 65 
discuss 35 33 45 103 5 
explor 145 1 3 54 18 
committe 30 73 68 47 3 
divis 3 3 9 146 59 
properti 23 1 0 72 124 
order 15 13 30 57 104 
option 29 30 39 105 16 
economi 43 6 136 8 24 
holder 1 0 4 93 119 
commun 9 40 20 86 61 
so 32 37 73 40 34 
activ 25 32 40 57 61 
much 42 40 59 38 36 
ago 35 61 16 26 76 
start 26 27 48 56 57 
limit 22 39 41 68 43 
these 43 33 50 42 43 
our 43 22 29 59 58 
york 19 3 36 121 31 
good 22 35 47 28 77 
baker 7 1 122 77 2 
27 20 6 11 52 119 
work 41 31 30 69 37 
trader 55 68 45 20 18 
rang 12 33 74 55 32 
point 17 27 96 39 27 
decis 22 47 26 73 38 
below 67 31 58 19 30 
accept 28 53 17 92 15 
treasuri 8 4 179 12 2 
author 4 40 47 56 58 
final 17 28 15 49 95 
want 31 30 62 67 13 
posit 29 16 32 73 53 
reach 19 41 34 78 31 
south 48 44 28 57 26 
given 14 15 70 51 52 
doe 20 17 49 81 34 
restructur 12 2 13 74 100 
repres 24 34 23 80 40 
output 128 58 3 4 7 
those 28 36 43 58 35 
cent 11 24 25 14 126 
24 17 9 8 33 132 
larg 28 33 61 28 48 
partner 12 0 20 139 26 
ship 79 70 2 23 23 
initi 15 35 20 31 96 
turnov 0 0 3 26 167 
fed 1 1 187 7 0 
mine 23 0 3 112 57 
french 9 72 27 74 13 
third 29 17 20 35 94 
british 26 18 39 70 42 
until 36 27 31 77 24 
adjust 9 24 39 9 113 
40 19 12 15 52 93 
paid 6 25 8 59 93 
negoti 24 21 18 111 17 
respect 11 14 28 23 114 
farm 2 172 0 9 7 
manufactur 4 3 21 109 53 
low 29 32 76 19 33 
number 25 35 10 74 45 
commod 8 127 35 12 5 
stabil 24 12 138 3 10 
news 41 19 31 52 43 
farmer 5 174 0 5 2 
corpor 17 24 15 77 52 
bond 8 6 102 50 19 
get 28 31 19 89 18 
nil 0 32 1 1 150 
food 3 49 5 65 62 
form 9 14 15 101 45 
go 25 29 30 72 28 
liquid 20 3 97 22 41 
balanc 17 16 55 34 61 
back 26 25 51 52 28 
letter 8 15 3 151 5 
special 5 19 21 92 45 
deficit 16 4 146 7 9 
budget 43 29 88 8 13 
texa 64 14 0 57 46 
project 53 17 5 37 69 
long 19 29 44 46 43 
measur 43 30 79 12 17 
100 13 11 24 81 52 
gencorp 0 0 0 173 8 
abov 44 28 75 14 19 
3rd 0 0 0 0 180 
ec 1 129 40 7 3 
what 33 28 61 47 11 
chief 10 2 22 85 61 
post 80 13 4 27 55 
custom 14 14 85 38 28 
strong 22 15 34 22 86 
26 9 21 9 27 112 
administr 43 75 24 22 14 
equiti 9 4 8 91 65 
monetari 1 2 172 1 1 
largest 33 12 12 86 34 
certain 9 10 10 103 44 
concern 19 19 29 81 28 
competit 21 55 22 37 39 
cooper 21 28 76 33 16 
cyclop 0 0 0 174 0 
23 4 10 10 33 117 
less 32 42 30 37 33 
pretax 0 0 0 26 148 
rule 29 43 35 54 12 
late 16 31 56 46 24 
china 36 103 10 9 14 
them 26 23 39 67 16 
secretari 35 46 61 29 0 
disclos 4 2 3 145 16 
agenc 53 37 21 46 13 
air 9 29 3 104 24 
revis 29 13 84 21 21 
come 34 21 54 27 31 
veri 17 29 54 33 34 
combin 9 12 3 103 39 
problem 27 29 51 17 42 
certif 0 114 17 5 30 
western 20 21 23 79 22 
court 21 17 4 111 12 
studi 56 41 10 50 8 
19 6 7 8 23 119 
return 23 13 25 22 80 
england 0 1 137 16 9 
least 21 34 16 64 27 
within 28 17 55 37 25 
data 13 4 26 54 65 
field 100 29 3 15 14 
detail 19 32 13 72 25 
2nd 0 0 0 0 161 
twa 0 0 0 160 0 
north 43 24 1 41 51 
real 6 7 38 43 65 
assist 18 16 114 10 1 
maiz 0 157 2 0 0 
ministri 41 26 57 28 7 
technolog 4 3 0 89 62 
lead 18 16 62 36 26 
whether 8 38 40 59 13 
relat 16 9 16 50 67 
expens 4 5 7 38 103 
far 29 17 64 24 23 
1986/87 7 112 6 1 31 
basi 5 17 25 56 53 
chemic 5 1 2 90 58 
put 22 38 36 38 21 
repurchas 0 0 116 19 19 
look 20 25 40 36 33 
substanti 5 14 27 51 57 
caus 27 44 32 20 30 
reject 7 24 7 112 3 
extend 13 21 11 96 12 
commerci 13 13 45 49 33 
1988 17 21 15 24 75 
class 1 1 0 70 80 
affect 15 43 32 8 52 
avail 26 37 7 47 33 
ag 1 0 6 70 73 
later 19 29 18 62 22 
natur 80 4 9 34 22 
septemb 15 37 36 30 31 
shipment 35 93 0 1 20 
specul 5 21 41 78 4 
35 10 5 6 51 76 
germani 3 8 110 17 10 
think 22 20 44 51 11 
decid 26 34 11 59 18 
comput 1 1 1 88 57 
way 36 29 38 38 6 
present 27 20 34 37 29 
southern 16 24 0 80 27 
inform 15 8 9 94 21 
dec 2 2 0 7 135 
soybean 3 143 0 0 0 
sector 21 11 29 20 65 
respons 17 18 26 70 14 
becom 24 12 27 69 13 
year' 23 43 5 6 68 
among 22 13 58 41 11 
benefit 25 18 13 28 60 
begin 26 29 31 29 28 
1.5 8 29 31 22 52 
date 7 17 9 58 51 
acr 8 121 0 11 1 
express 4 5 5 115 12 
boost 31 14 32 37 27 
place 16 13 22 49 40 
intend 13 14 15 74 24 
ventur 13 0 3 94 30 
mani 26 36 43 19 16 
must 22 42 41 28 7 
airlin 1 0 1 108 30 
worth 3 19 28 79 11 
power 8 5 6 48 71 
60 20 8 3 37 70 
institut 19 1 39 51 27 
senior 13 14 49 49 12 
cover 15 60 12 20 30 
undisclos 1 0 0 130 5 
dixon 0 0 0 133 3 
transport 20 20 1 69 26 
interven 3 0 130 3 0 
german 3 10 76 27 19 
grow 18 30 37 25 25 
review 22 10 21 70 12 
pact 19 21 57 35 2 
termin 18 11 0 85 20 
80 13 10 8 57 46 
economist 9 5 118 1 1 
better 17 15 25 25 52 
although 27 19 27 20 41 
intent 5 9 8 110 1 
confer 39 8 23 23 40 
refineri 128 0 0 2 3 
indic 18 26 41 33 15 
dilut 0 0 0 33 100 
even 20 23 42 29 19 
convert 3 0 5 93 32 
commit 23 30 23 48 8 
bank' 3 0 66 14 49 
damag 47 44 18 19 4 
season 11 90 8 6 17 
factor 10 10 54 21 36 
main 34 25 41 19 12 
past 29 20 36 27 19 
sterl 3 1 102 10 15 
taft 0 0 0 129 2 
banker 15 0 67 31 18 
forc 41 12 27 26 24 
affili 4 2 0 101 23 
juli 6 34 6 24 59 
brazil 39 18 7 16 49 
21 2 4 6 20 97 
aid 17 74 16 11 11 
recommend 21 7 10 42 48 
equip 8 0 4 88 28 
joint 9 12 17 66 24 
here 34 19 57 7 10 
life 2 4 9 75 37 
drill 106 0 0 12 9 
quot 35 16 34 32 10 
pre-tax 0 1 0 13 112 
involv 6 14 18 65 23 
29 0 4 1 21 100 
pressur 20 11 63 13 18 
merg 1 4 0 113 7 
depend 36 15 20 28 26 
releas 15 37 15 27 30 
surplu 10 20 67 3 24 
guilder 0 4 66 5 49 
facil 16 12 27 43 26 
bundesbank 0 0 123 0 0 
partnership 12 2 0 82 27 
citi 2 16 6 63 35 
ecuador 119 2 0 0 1 
45 2 4 5 34 77 
friday 22 8 34 49 9 
where 25 26 23 37 10 
advanc 2 23 41 35 20 
law 9 13 6 70 22 
morn 5 10 74 21 10 
purol 0 0 0 120 0 
deposit 5 0 56 26 33 
perform 4 4 24 14 74 
taken 12 21 26 38 23 
effort 13 13 24 49 20 
expand 6 25 14 46 28 
reduct 18 27 12 7 55 
expir 2 9 11 91 6 
parent 1 0 0 28 90 
home 5 26 3 48 36 
small 19 14 31 30 24 
just 17 17 31 32 21 
seen 28 27 35 11 16 
prospect 26 23 25 17 26 
consolid 2 1 6 45 63 
regular 1 3 9 3 100 
winter 5 107 0 1 3 
request 15 31 10 58 2 
hope 20 11 31 34 20 
then 19 22 33 33 9 
daili 31 35 27 15 8 
america 7 4 0 64 40 
exist 20 13 10 41 31 
fix 26 10 53 9 17 
schedul 18 19 8 54 16 
bring 29 12 40 22 12 
enter 10 7 22 66 9 
applic 6 10 3 84 11 
estat 2 1 3 49 59 
definit 2 13 6 87 6 
attempt 11 4 20 66 13 
without 12 15 18 39 30 
act 10 10 19 52 23 
particip 6 24 15 48 21 
150 9 4 58 23 20 
de 24 9 15 37 28 
quota 89 18 2 1 3 
impact 10 22 22 15 44 
shortag 7 8 94 1 2 
flow 20 5 25 18 44 
despit 17 13 27 13 42 
buyout 0 0 0 109 3 
determin 22 20 22 30 17 
land 12 49 4 17 29 
how 16 29 24 22 20 
gold 2 1 22 51 35 
standard 15 5 14 54 23 
cabl 0 0 5 87 18 
altern 1 12 5 86 6 
sharp 19 13 36 14 28 
block 31 2 5 60 12 
unchang 14 21 34 6 35 
discount 25 3 54 9 19 
near 35 15 28 14 18 
33 7 0 4 28 70 
51 1 1 10 41 56 
band 0 1 107 1 0 
warrant 1 1 9 77 21 
reason 10 17 32 31 19 
process 9 14 11 57 18 
sugar 10 60 0 35 3 
harvest 2 103 1 2 0 
bonu 1 69 0 1 36 
signific 14 16 14 21 42 
again 19 14 37 22 15 
region 27 18 11 34 17 
barley 0 107 0 0 0 
yield 6 43 40 3 14 
chrysler 0 0 0 94 12 
piedmont 0 0 0 104 2 
led 9 8 15 68 6 
arrang 5 5 27 57 12 
research 32 4 8 34 28 
deliveri 8 60 7 21 10 
spend 34 10 18 9 35 
consum 19 20 16 27 24 
probabl 22 29 16 23 16 
shearson 4 1 6 91 3 
arabia 78 9 18 0 0 
commerc 5 9 16 49 26 
crown 6 0 4 27 67 
offset 14 10 33 5 42 
volum 13 27 15 8 41 
rice 0 101 3 0 0 
risk 4 6 46 22 26 
pipelin 85 0 0 9 9 
reagan 42 36 16 8 0 
case 11 35 9 33 13 
tri 10 14 25 42 10 
engin 4 1 4 40 52 
australian 15 29 18 17 22 
regulatori 2 3 4 68 24 
maintain 25 15 16 15 30 
b 2 0 0 46 52 
london 13 11 38 25 13 
refin 72 7 0 9 12 
washington 14 13 41 22 9 
bushel 1 98 0 0 0 
direct 10 9 28 24 28 
jame 7 1 43 32 16 
press 21 7 19 38 14 
subsidi 4 84 9 1 1 
electron 0 0 3 52 43 
mean 14 17 39 16 12 
necessari 13 6 41 23 15 
immedi 22 9 12 44 11 
latest 16 19 28 11 24 
east 41 14 6 16 20 
dutch 9 10 35 21 22 
heavi 27 33 12 12 13 
hit 33 13 22 4 25 
soon 14 13 28 31 11 
situat 18 29 24 18 7 
face 21 14 22 12 27 
writedown 0 0 0 0 96 
littl 9 14 41 16 16 
paper 4 14 37 27 14 
steel 9 0 4 36 47 
70 16 8 2 25 45 
caesar 0 0 0 87 8 
principl 2 0 4 79 10 
add 6 4 56 16 13 
restat 0 0 1 4 90 
tokyo 2 3 76 6 8 
buyer 22 17 6 47 3 
gave 18 17 17 29 14 
0/92 0 94 0 0 0 
peopl 15 14 18 35 12 
weather 7 79 3 0 5 
hugh 8 0 0 83 3 
telephon 4 1 8 46 35 
contribut 6 5 12 20 51 
step 10 11 33 34 5 
success 11 7 32 20 23 
progress 1 7 6 53 26 
yet 18 13 17 32 13 
aim 9 12 27 26 19 
protect 28 11 9 40 5 
keep 24 13 37 14 4 
fuel 55 3 1 5 28 
hutton 1 2 0 89 0 
northern 22 29 0 26 15 
retail 2 0 3 46 41 
vice 13 8 10 40 21 
build 20 8 7 33 24 
delay 7 18 14 24 29 
britain 9 10 60 7 5 
origin 5 20 8 44 14 
consider 15 15 13 35 13 
light 36 10 11 12 21 
34 4 2 1 19 64 
taiwan 0 32 55 2 1 
began 13 13 21 30 13 
motor 0 0 4 50 36 
restrict 15 10 27 33 5 
it' 8 17 19 39 7 
settlement 2 3 9 27 49 
too 8 26 28 21 7 
continent 14 9 2 23 41 
electr 4 2 2 35 46 
australia 5 26 0 41 17 
materi 7 4 0 53 25 
guarante 19 44 5 16 5 
200 5 8 22 32 22 
newspap 17 7 9 50 6 
appear 18 16 31 13 10 
enterpris 4 1 5 42 36 
key 5 10 35 21 17 
europ 18 9 30 11 20 
two-for-on 0 0 0 2 86 
medic 0 0 1 54 33 
37 13 3 5 12 54 
potenti 13 9 16 37 12 
don't 8 20 28 23 8 
fulli 5 2 10 52 18 
year-ago 15 5 1 1 64 
august 9 19 3 13 42 
head 17 12 17 26 14 
run 28 8 24 17 9 
creat 9 10 19 34 14 
chemlawn 0 0 0 86 0 
grant 3 25 3 44 11 
65 6 7 4 32 37 
broadcast 2 1 1 71 11 
royal 9 3 1 18 54 
california 21 1 0 44 19 
lend 21 2 33 11 18 
novemb 5 9 11 25 35 
publish 11 2 6 50 16 
oversea 10 5 20 27 23 
sea 59 8 3 4 11 
3 0 8 9 21 47 
us 13 7 3 34 28 
1985/86 7 50 1 2 24 
capac 44 4 1 13 22 
parti 8 5 19 48 4 
question 9 11 33 22 9 
local 7 10 32 18 17 
specif 8 8 23 15 30 
slightli 18 11 17 6 32 
exceed 12 8 10 16 38 
plu 4 4 12 46 17 
sharpli 11 11 21 6 34 
prepar 14 9 19 25 16 
hotel 0 0 3 61 19 
view 6 7 26 30 14 
packag 11 13 26 26 7 
santa 3 13 0 63 4 
corp' 9 0 0 64 10 
former 1 2 15 53 12 
leas 19 1 0 28 34 
greater 8 13 31 14 16 
55 2 1 1 13 65 
carri 21 7 11 19 24 
independ 10 2 7 53 10 
item 3 3 1 9 66 
televis 11 0 7 48 16 
90 1 14 7 23 37 
38 4 0 3 18 57 
push 8 9 52 11 2 
bbl 82 0 0 0 0 
acreag 4 74 0 2 1 
rumor 3 16 5 56 1 
inflat 7 4 62 1 7 
health 5 0 3 44 29 
equal 3 12 6 23 37 
proce 1 0 1 50 29 
normal 6 40 13 9 12 
enhanc 7 48 3 12 10 
52 3 1 1 25 50 
eas 9 8 51 5 7 
exercis 4 0 2 56 18 
retain 4 2 5 53 16 
500 10 7 16 32 15 
outlook 19 11 21 2 27 
suggest 8 10 36 22 4 
lost 16 6 7 15 35 
council 13 27 32 6 1 
predict 13 10 17 12 27 
urg 16 29 13 21 0 
advis 7 5 4 62 1 
excess 6 12 25 22 14 
feed 0 72 0 5 2 
emerg 25 18 9 20 6 
senat 7 49 14 8 0 
free 16 30 5 11 16 
miyazawa 0 0 78 0 0 
africa 26 20 5 19 8 
telecommun 1 0 3 52 22 
interview 26 9 23 12 8 
expans 5 7 9 26 31 
top 15 5 19 28 11 
wast 1 2 0 60 15 
care 4 5 13 42 13 
inventori 18 12 6 8 33 
42 1 1 2 15 58 
allegheni 0 0 0 76 1 
borrow 6 2 32 14 23 
rain 2 75 0 0 0 
port 40 30 0 5 2 
clear 6 10 34 19 8 
1987/88 12 31 19 2 13 
employ 6 6 24 33 8 
36 6 4 1 6 60 
liabil 6 0 6 35 29 
octob 10 16 6 14 30 
few 15 12 20 17 12 
conserv 6 46 9 4 11 
oppos 12 22 3 37 2 
2.5 7 9 23 13 24 
william 6 1 2 49 18 
borg-warn 0 0 0 75 0 
32 5 1 3 7 59 
chicago 3 17 10 34 11 
sumita 0 0 75 0 0 
robert 6 15 15 28 11 
suit 0 0 4 50 21 
book 1 9 6 22 37 
anticip 6 11 6 12 40 
enough 7 15 30 14 9 
toward 16 11 27 15 6 
find 18 11 17 22 6 
short 11 11 24 17 11 
counti 4 27 0 36 7 
establish 2 10 26 25 11 
maker 0 2 1 59 12 
courier 0 0 0 72 2 
partli 6 4 34 9 21 
49 1 2 2 26 43 
polit 13 7 31 16 7 
